frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
0,9,6,6,0,3,1.0,0.667,0.8,6,0,3,1.0,0.667,0.8,6,0,3,1.0,0.667,0.8
10,8,7,7,0,1,1.0,0.875,0.933,7,0,1,1.0,0.875,0.933,7,0,1,1.0,0.875,0.933
20,7,6,6,0,1,1.0,0.857,0.923,6,0,1,1.0,0.857,0.923,6,0,1,1.0,0.857,0.923
30,7,6,6,0,1,1.0,0.857,0.923,6,0,1,1.0,0.857,0.923,6,0,1,1.0,0.857,0.923
40,7,6,6,0,1,1.0,0.857,0.923,6,0,1,1.0,0.857,0.923,5,1,2,0.833,0.714,0.769
50,8,8,7,1,1,0.875,0.875,0.875,7,1,1,0.875,0.875,0.875,7,1,1,0.875,0.875,0.875
60,8,7,7,0,1,1.0,0.875,0.933,7,0,1,1.0,0.875,0.933,6,1,2,0.857,0.75,0.8
70,7,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0
80,7,6,5,1,2,0.833,0.714,0.769,5,1,2,0.833,0.714,0.769,5,1,2,0.833,0.714,0.769
90,7,6,5,1,2,0.833,0.714,0.769,5,1,2,0.833,0.714,0.769,3,3,4,0.5,0.429,0.462
