frame,gt_id,pred_id,iou
0,1,1,0.9214479192317163
0,2,2,0.9208055723803755
0,4,3,0.7878612716763006
0,9,4,0.3379464285714286
0,5,,0.0
0,6,,0.0
10,1,1,0.9283496262219666
10,2,2,0.9196189342066091
10,5,5,0.20790137293359484
10,6,,0.0
10,9,,0.0
10,,4,0.0
20,1,1,0.9187654056371236
20,2,2,0.8883476957662045
20,5,6,0.3157894736842105
20,6,5,0.615281948615282
20,,4,0.0
30,1,1,0.868840579710145
30,2,2,0.9122786443063211
30,5,5,0.7229246838922485
30,6,6,0.021602160216021602
30,,4,0.0
40,1,1,0.7253886010362695
40,2,2,0.882679584120983
40,6,5,0.27816976694462264
40,7,6,0.3632298790110468
40,9,4,0.23537095088819227
40,5,,0.0
50,1,1,0.6500711237553343
50,2,2,0.8555826652724526
50,5,6,0.6127336448598131
50,6,8,0.7030461595963371
50,7,5,0.8783921648643134
50,8,7,0.8936915887850467
50,9,4,0.46053305996924654
60,1,1,0.6643835616438356
60,2,2,0.8434504792332268
60,5,6,0.1999581896101181
60,7,5,0.379590395480226
60,8,7,0.8683216405828387
60,9,4,0.7452202237643393
60,6,,0.0
60,,8,0.0
60,,9,0.0
70,1,1,0.7391304347826086
70,2,2,0.8597785977859779
70,3,9,0.8986746472851646
70,5,5,0.8561481870730425
70,6,6,0.7982092159860231
70,7,8,0.8757898237445959
70,8,7,0.8554852320675106
70,9,4,0.09118150684931507
80,1,1,0.7080799304952216
80,2,2,0.9066985645933014
80,3,9,0.8877936241610739
80,5,5,0.8931203931203932
80,6,6,0.5045045045045045
80,8,7,0.883177570093458
80,9,4,0.8030686491616577
80,7,,0.0
80,,8,0.0
90,1,1,0.58656330749354
90,2,9,0.04720244150559512
90,3,2,0.5124188395341647
90,5,5,0.9186663298812832
90,6,6,0.48722367928062943
90,7,8,0.8188025210084033
90,8,7,0.8305732484076433
90,9,4,0.617152017098584
