frame,gt_id,pred_id,iou
0,1,1,0.863254762673555
0,2,2,0.8565277953653286
0,3,3,0.903584947673124
0,4,4,0.8909603004291845
0,5,5,0.9333177351427234
0,6,,0.0
10,1,1,0.8611390044469946
10,2,2,0.8582695984703633
10,3,3,0.9086197778952935
10,4,4,0.8745233968804159
10,5,5,0.9238050718709828
10,7,6,0.010709186101856259
10,,7,0.0
20,1,1,0.9115872057936029
20,2,2,0.896741476046612
20,3,3,0.8388924524267692
20,4,4,0.8119639322630305
20,5,5,0.938616300554301
20,8,6,0.042810609585853886
20,7,,0.0
20,,7,0.0
30,1,1,0.879604109245803
30,2,2,0.8421892134383412
30,3,3,0.9172704760157755
30,4,4,0.789080459770115
30,5,5,0.9342441517593867
30,7,,0.0
30,8,,0.0
30,,7,0.0
40,1,1,0.8664559925093633
40,2,2,0.8565686274509804
40,3,3,0.9204094807710044
40,4,4,0.782258064516129
40,5,5,0.8924961119751167
40,7,6,0.14421976344906523
40,,7,0.0
50,1,1,0.8661408575872028
50,2,2,0.855593220338983
50,3,3,0.8930961606199366
50,4,4,0.7574468085106383
50,5,5,0.8671737858396723
50,7,,0.0
60,1,1,0.837685984809073
60,2,2,0.8051170386499727
60,3,3,0.8288770053475936
60,4,4,0.8316183348924229
60,5,5,0.7539893617021277
60,8,,0.0
70,1,1,0.8672887506480041
70,2,2,0.8613074204946997
70,3,3,0.8242381289865344
70,4,4,0.8755102040816326
70,5,5,0.8652423993426458
70,7,6,0.13149375674425776
70,8,,0.0
80,1,1,0.9063256499315862
80,2,2,0.8610271903323263
80,4,4,0.8594377510040161
80,5,5,0.759075907590759
80,7,,0.0
80,8,,0.0
90,1,1,0.8417986528308756
90,2,2,0.8532494758909853
90,4,4,0.8166311300639659
90,5,5,0.8440292445166532
90,8,6,0.3642437199358632
90,7,,0.0
