frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,4,1,0,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4
10,3,1,0,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5
20,3,1,0,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5
30,3,1,0,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5,1,0,2,1.0,0.333,0.5,0,1.0,0.5
40,2,1,0,1,0,1,1.0,0.5,0.667,0,1.0,0.667,1,0,1,1.0,0.5,0.667,0,1.0,0.667,1,0,1,1.0,0.5,0.667,0,1.0,0.667
50,4,1,0,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4
60,4,1,0,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4,1,0,3,1.0,0.25,0.4,0,1.0,0.4
70,4,2,0,2,0,2,1.0,0.5,0.667,0,1.0,0.667,2,0,2,1.0,0.5,0.667,0,1.0,0.667,2,0,2,1.0,0.5,0.667,0,1.0,0.667
80,5,2,0,2,0,3,1.0,0.4,0.571,0,1.0,0.571,2,0,3,1.0,0.4,0.571,0,1.0,0.571,2,0,3,1.0,0.4,0.571,0,1.0,0.571
90,5,2,0,2,0,3,1.0,0.4,0.571,0,1.0,0.571,2,0,3,1.0,0.4,0.571,0,1.0,0.571,2,0,3,1.0,0.4,0.571,0,1.0,0.571
