frame,gt_id,pred_id,iou
0,2,2,0.8502182748758091
0,3,4,0.8658111533586819
0,5,3,0.9151749933208656
0,1,,0.0
0,7,,0.0
0,,1,0.0
10,2,2,0.9147353856796956
10,3,4,0.9081654294803818
10,5,3,0.9168385970480876
10,1,,0.0
10,,1,0.0
20,2,2,0.9218254515372949
20,3,4,0.94328125
20,5,3,0.8965835641735919
20,1,,0.0
20,7,,0.0
30,2,2,0.8910239536720189
30,3,4,0.8818168008506759
30,5,3,0.8706130088909686
30,1,,0.0
40,2,2,0.8771985590167408
40,3,4,0.8828282828282829
40,5,3,0.8371543370361617
40,1,,0.0
40,8,,0.0
50,2,2,0.9182022471910113
50,3,4,0.8894334209897203
50,5,3,0.8450993831391364
50,1,,0.0
50,8,,0.0
50,,5,0.0
60,2,2,0.906964656964657
60,3,4,0.8928216592151018
60,5,3,0.8204570184983678
60,6,6,0.8815322771340742
60,1,,0.0
60,8,,0.0
60,,5,0.0
70,2,2,0.9246141669964385
70,3,4,0.8537929652269767
70,5,3,0.914328161109277
70,6,6,0.827962962962963
70,1,,0.0
70,7,,0.0
70,,5,0.0
80,2,2,0.9157841654059505
80,3,4,0.8951132300357568
80,5,3,0.8546932742054694
80,6,6,0.8363180515759312
80,1,,0.0
80,7,,0.0
80,8,,0.0
80,,5,0.0
90,2,2,0.889090909090909
90,3,7,0.8473653509624732
90,4,4,0.8468121523320497
90,5,3,0.8892224557190033
90,6,6,0.8163833075734158
90,1,,0.0
90,7,,0.0
