frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,5,6,2,4,2,1,0.667,0.8,0.727,0,1.0,0.889,4,2,1,0.667,0.8,0.727,0,1.0,0.889,4,2,1,0.667,0.8,0.727,0,1.0,0.889
10,4,7,3,4,3,0,0.571,1.0,0.727,0,1.0,1.0,4,3,0,0.571,1.0,0.727,0,1.0,1.0,4,3,0,0.571,1.0,0.727,0,1.0,1.0
20,5,6,2,4,2,1,0.667,0.8,0.727,0,1.0,0.889,3,3,2,0.5,0.6,0.545,1,0.75,0.667,3,3,2,0.5,0.6,0.545,1,0.75,0.667
30,4,6,2,4,2,0,0.667,1.0,0.8,0,1.0,1.0,4,2,0,0.667,1.0,0.8,0,1.0,1.0,4,2,0,0.667,1.0,0.8,0,1.0,1.0
40,5,6,2,4,2,1,0.667,0.8,0.727,0,1.0,0.889,4,2,1,0.667,0.8,0.727,0,1.0,0.889,4,2,1,0.667,0.8,0.727,0,1.0,0.889
50,5,7,3,4,3,1,0.571,0.8,0.667,0,1.0,0.889,4,3,1,0.571,0.8,0.667,0,1.0,0.889,4,3,1,0.571,0.8,0.667,0,1.0,0.889
60,6,8,3,5,3,1,0.625,0.833,0.714,0,1.0,0.909,5,3,1,0.625,0.833,0.714,0,1.0,0.909,5,3,1,0.625,0.833,0.714,0,1.0,0.909
70,6,8,3,5,3,1,0.625,0.833,0.714,0,1.0,0.909,5,3,1,0.625,0.833,0.714,0,1.0,0.909,5,3,1,0.625,0.833,0.714,0,1.0,0.909
80,7,8,2,6,2,1,0.75,0.857,0.8,0,1.0,0.923,6,2,1,0.75,0.857,0.8,0,1.0,0.923,6,2,1,0.75,0.857,0.8,0,1.0,0.923
90,7,7,1,6,1,1,0.857,0.857,0.857,0,1.0,0.923,6,1,1,0.857,0.857,0.857,0,1.0,0.923,6,1,1,0.857,0.857,0.857,0,1.0,0.923
