frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
10,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
20,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
30,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
40,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
50,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
60,1,1,0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0,1,0,0,1.0,1.0,1.0,0,1.0,1.0
70,2,2,0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0
80,2,2,0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0
90,2,2,0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0,2,0,0,1.0,1.0,1.0,0,1.0,1.0
