frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
0,18,12,11,1,7,0.917,0.611,0.733,11,1,7,0.917,0.611,0.733,10,2,8,0.833,0.556,0.667
10,18,11,9,2,9,0.818,0.5,0.621,9,2,9,0.818,0.5,0.621,8,3,10,0.727,0.444,0.552
20,19,11,10,1,9,0.909,0.526,0.667,10,1,9,0.909,0.526,0.667,7,4,12,0.636,0.368,0.467
30,17,11,10,1,7,0.909,0.588,0.714,10,1,7,0.909,0.588,0.714,8,3,9,0.727,0.471,0.571
35,1,11,0,11,1,0.0,0.0,0.0,0,11,1,0.0,0.0,0.0,0,11,1,0.0,0.0,0.0
40,19,12,9,3,10,0.75,0.474,0.581,9,3,10,0.75,0.474,0.581,7,5,12,0.583,0.368,0.452
50,20,12,9,3,11,0.75,0.45,0.563,9,3,11,0.75,0.45,0.563,9,3,11,0.75,0.45,0.563
60,20,12,9,3,11,0.75,0.45,0.563,8,4,12,0.667,0.4,0.5,6,6,14,0.5,0.3,0.375
70,21,12,10,2,11,0.833,0.476,0.606,10,2,11,0.833,0.476,0.606,10,2,11,0.833,0.476,0.606
80,20,12,11,1,9,0.917,0.55,0.687,9,3,11,0.75,0.45,0.563,9,3,11,0.75,0.45,0.563
90,19,11,10,1,9,0.909,0.526,0.667,10,1,9,0.909,0.526,0.667,10,1,9,0.909,0.526,0.667
