frame,gt_id,pred_id,iou
0,1,1,0.6280966767371601
0,2,5,0.8162455627479641
0,3,4,0.9059670016127032
0,4,3,0.8168604651162791
0,5,6,0.8873517786561265
0,6,7,0.9034649935833452
0,7,8,0.8692042923668759
0,8,10,0.9021577380952381
0,9,9,0.8590027700831024
0,10,,0.0
0,,2,0.0
10,1,1,0.329345889539323
10,2,5,0.8231189892513672
10,3,4,0.8865700957525166
10,4,3,0.894172981447609
10,5,6,0.9063531898031965
10,6,7,0.8815804630802903
10,7,8,0.8400702987697716
10,8,10,0.8859861069163395
10,9,9,0.922367515485203
10,10,,0.0
10,,2,0.0
10,,11,0.0
10,,12,0.0
20,1,1,0.8
20,2,5,0.8749557208643287
20,3,4,0.881769641495042
20,4,3,0.8762192289828147
20,5,6,0.8748936170212765
20,6,7,0.8913894324853229
20,7,8,0.7597691673536686
20,8,10,0.8831113021057155
20,9,9,0.9202013845185651
20,11,11,0.887486015662458
20,10,,0.0
20,,2,0.0
20,,12,0.0
30,1,1,0.8494635428070944
30,2,5,0.5389069340488631
30,3,4,0.9140486069946651
30,4,3,0.8965597940556985
30,5,6,0.8815686274509804
30,6,7,0.8530287030815014
30,7,8,0.8093176307585729
30,8,10,0.8586340206185566
30,9,9,0.8907515110046755
30,11,11,0.9127722045510154
30,10,,0.0
30,,2,0.0
30,,12,0.0
40,1,1,0.865278628291488
40,2,5,0.3828125
40,3,4,0.8832018038331454
40,4,3,0.8729411764705882
40,5,6,0.6940715883668904
40,6,7,0.9055306427503736
40,7,8,0.8916096507021967
40,8,10,0.9009093340465365
40,9,9,0.9046795758414016
40,11,11,0.9029641185647426
40,10,,0.0
40,,2,0.0
40,,13,0.0
50,1,1,0.8571428571428571
50,2,5,0.81872
50,3,4,0.8614347026364194
50,4,3,0.8739952205083641
50,5,6,0.6755829903978052
50,6,7,0.8874964930328252
50,7,8,0.9251865995486894
50,8,10,0.8752584424534804
50,9,9,0.8563151796060255
50,11,11,0.8424005855086607
50,10,,0.0
50,,2,0.0
50,,13,0.0
50,,14,0.0
50,,15,0.0
60,1,1,0.9034635224760501
60,2,5,0.8857179586065047
60,3,4,0.8665223665223665
60,4,3,0.9147235176548968
60,5,13,0.455137481910275
60,6,7,0.894545123394955
60,7,8,0.894780585106383
60,8,10,0.8719567177637512
60,9,9,0.8452977184195882
60,11,11,0.8479906814210832
60,10,,0.0
60,,2,0.0
60,,6,0.0
60,,14,0.0
60,,15,0.0
70,1,1,0.9049497847919655
70,2,5,0.7975665036383156
70,3,4,0.888328530259366
70,4,3,0.9040506329113924
70,5,13,0.6958970233306516
70,6,7,0.9160785647478956
70,7,8,0.9351535836177475
70,8,10,0.7605042016806722
70,9,9,0.7704918032786885
70,11,11,0.8618556701030928
70,10,,0.0
70,,2,0.0
70,,14,0.0
70,,15,0.0
70,,16,0.0
80,1,1,0.8741044012282497
80,2,5,0.8657858136300417
80,3,4,0.8571428571428571
80,4,3,0.8685672867842474
80,5,13,0.6439100077579519
80,6,7,0.8875127248048863
80,7,8,0.9221716616977875
80,8,10,0.7334096109839817
80,9,9,0.8060309698451508
80,11,11,0.9400824145227754
80,10,,0.0
80,,2,0.0
80,,14,0.0
80,,15,0.0
80,,16,0.0
90,1,1,0.8386055519690123
90,2,5,0.7329888027562446
90,3,4,0.8345511482254697
90,4,3,0.8430558438862362
90,5,13,0.6846846846846847
90,6,7,0.8164071068216714
90,7,8,0.8651351351351352
90,8,10,0.8512820512820513
90,9,9,0.8179723502304147
90,11,11,0.9432103939647947
90,10,,0.0
90,,2,0.0
90,,15,0.0
90,,16,0.0
