frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
0,10,7,7,0,3,1.0,0.7,0.824,7,0,3,1.0,0.7,0.824,7,0,3,1.0,0.7,0.824
10,10,10,8,2,2,0.8,0.8,0.8,7,3,3,0.7,0.7,0.7,7,3,3,0.7,0.7,0.7
20,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857
30,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857
40,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,8,2,3,0.8,0.727,0.762
50,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,8,2,3,0.8,0.727,0.762
60,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,8,2,3,0.8,0.727,0.762
70,11,10,9,1,2,0.9,0.818,0.857,9,1,2,0.9,0.818,0.857,7,3,4,0.7,0.636,0.667
80,11,11,9,2,2,0.818,0.818,0.818,9,2,2,0.818,0.818,0.818,8,3,3,0.727,0.727,0.727
90,11,9,8,1,3,0.889,0.727,0.8,8,1,3,0.889,0.727,0.8,6,3,5,0.667,0.545,0.6
