frame,n_gt,n_pred,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7
0,3,3,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
1,3,2,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
2,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,1,2,2,0.333,0.333,0.333
3,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
4,3,3,3,0,0,1.0,1.0,1.0,1,2,2,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333
5,3,2,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
6,3,2,2,0,1,1.0,0.667,0.8,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
7,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
8,3,2,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
9,3,3,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
10,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
11,3,2,2,0,1,1.0,0.667,0.8,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
12,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
13,3,3,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
14,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
15,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
16,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
17,3,2,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
18,3,3,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333
19,3,2,2,0,1,1.0,0.667,0.8,2,0,1,1.0,0.667,0.8,1,1,2,0.5,0.333,0.4
20,3,2,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4,1,1,2,0.5,0.333,0.4
21,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
22,3,3,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333
23,3,3,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333
24,3,3,2,1,1,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
25,3,3,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333
26,3,3,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
27,3,3,3,0,0,1.0,1.0,1.0,2,1,1,0.667,0.667,0.667,1,2,2,0.333,0.333,0.333
28,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,1,2,2,0.333,0.333,0.333
29,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
30,3,3,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
